denotation,MACaddr
WAP242,WAP242
WAP098,WAP098
WAP011,WAP011
WAP115,WAP115
WAP339,WAP339
WAP349,WAP349
WAP292,WAP292
WAP126,WAP126
WAP203,WAP203
WAP287,WAP287
WAP330,WAP330
WAP488,WAP488
WAP222,WAP222
WAP423,WAP423
WAP062,WAP062
WAP275,WAP275
WAP245,WAP245
WAP214,WAP214
WAP253,WAP253
WAP149,WAP149
WAP394,WAP394
WAP151,WAP151
WAP305,WAP305
WAP487,WAP487
WAP324,WAP324
WAP114,WAP114
WAP042,WAP042
WAP280,WAP280
WAP392,WAP392
WAP483,WAP483
WAP438,WAP438
WAP021,WAP021
WAP495,WAP495
WAP372,WAP372
WAP032,WAP032
WAP129,WAP129
WAP016,WAP016
WAP089,WAP089
WAP364,WAP364
WAP294,WAP294
WAP297,WAP297
WAP079,WAP079
WAP112,WAP112
WAP496,WAP496
WAP252,WAP252
WAP399,WAP399
WAP342,WAP342
WAP517,WAP517
WAP035,WAP035
WAP358,WAP358
WAP167,WAP167
WAP463,WAP463
WAP258,WAP258
WAP494,WAP494
WAP048,WAP048
WAP095,WAP095
WAP437,WAP437
WAP246,WAP246
WAP026,WAP026
WAP257,WAP257
WAP382,WAP382
WAP192,WAP192
WAP276,WAP276
WAP470,WAP470
WAP283,WAP283
WAP284,WAP284
WAP431,WAP431
WAP367,WAP367
WAP196,WAP196
WAP182,WAP182
WAP029,WAP029
WAP315,WAP315
WAP498,WAP498
WAP229,WAP229
WAP271,WAP271
WAP347,WAP347
WAP087,WAP087
WAP268,WAP268
WAP116,WAP116
WAP316,WAP316
WAP069,WAP069
WAP444,WAP444
WAP248,WAP248
WAP312,WAP312
WAP425,WAP425
WAP030,WAP030
WAP184,WAP184
WAP428,WAP428
WAP163,WAP163
WAP091,WAP091
WAP506,WAP506
WAP220,WAP220
WAP191,WAP191
WAP171,WAP171
WAP322,WAP322
WAP443,WAP443
WAP449,WAP449
WAP044,WAP044
WAP092,WAP092
WAP134,WAP134
WAP432,WAP432
WAP321,WAP321
WAP019,WAP019
WAP028,WAP028
WAP492,WAP492
WAP277,WAP277
WAP332,WAP332
WAP466,WAP466
WAP355,WAP355
WAP434,WAP434
WAP131,WAP131
WAP296,WAP296
WAP036,WAP036
WAP333,WAP333
WAP053,WAP053
WAP462,WAP462
WAP039,WAP039
WAP009,WAP009
WAP502,WAP502
WAP375,WAP375
WAP247,WAP247
WAP366,WAP366
WAP132,WAP132
WAP213,WAP213
WAP402,WAP402
WAP004,WAP004
WAP153,WAP153
WAP047,WAP047
WAP064,WAP064
WAP033,WAP033
WAP325,WAP325
WAP101,WAP101
WAP224,WAP224
WAP263,WAP263
WAP208,WAP208
WAP117,WAP117
WAP403,WAP403
WAP046,WAP046
WAP113,WAP113
WAP066,WAP066
WAP420,WAP420
WAP006,WAP006
WAP161,WAP161
WAP303,WAP303
WAP212,WAP212
WAP391,WAP391
WAP051,WAP051
WAP387,WAP387
WAP422,WAP422
WAP088,WAP088
WAP474,WAP474
WAP516,WAP516
WAP063,WAP063
WAP169,WAP169
WAP504,WAP504
WAP133,WAP133
WAP074,WAP074
WAP102,WAP102
WAP458,WAP458
WAP012,WAP012
WAP395,WAP395
WAP419,WAP419
WAP377,WAP377
WAP430,WAP430
WAP511,WAP511
WAP197,WAP197
WAP356,WAP356
WAP099,WAP099
WAP216,WAP216
WAP414,WAP414
WAP020,WAP020
WAP270,WAP270
WAP179,WAP179
WAP058,WAP058
WAP291,WAP291
WAP014,WAP014
WAP493,WAP493
WAP057,WAP057
WAP071,WAP071
WAP206,WAP206
WAP070,WAP070
WAP215,WAP215
WAP286,WAP286
WAP299,WAP299
WAP239,WAP239
WAP147,WAP147
WAP282,WAP282
WAP354,WAP354
WAP396,WAP396
WAP301,WAP301
WAP340,WAP340
WAP267,WAP267
WAP361,WAP361
WAP417,WAP417
WAP265,WAP265
WAP335,WAP335
WAP231,WAP231
WAP319,WAP319
WAP473,WAP473
WAP093,WAP093
WAP190,WAP190
WAP314,WAP314
WAP385,WAP385
WAP486,WAP486
WAP398,WAP398
WAP005,WAP005
WAP111,WAP111
WAP060,WAP060
WAP459,WAP459
WAP205,WAP205
WAP359,WAP359
WAP389,WAP389
WAP140,WAP140
WAP363,WAP363
WAP178,WAP178
WAP166,WAP166
WAP318,WAP318
WAP467,WAP467
WAP341,WAP341
WAP436,WAP436
WAP144,WAP144
WAP154,WAP154
WAP199,WAP199
WAP209,WAP209
WAP460,WAP460
WAP050,WAP050
WAP345,WAP345
WAP055,WAP055
WAP227,WAP227
WAP240,WAP240
WAP124,WAP124
WAP188,WAP188
WAP501,WAP501
WAP393,WAP393
WAP418,WAP418
WAP313,WAP313
WAP068,WAP068
WAP259,WAP259
WAP159,WAP159
WAP160,WAP160
WAP217,WAP217
WAP307,WAP307
WAP439,WAP439
WAP362,WAP362
WAP499,WAP499
WAP158,WAP158
WAP034,WAP034
WAP338,WAP338
WAP346,WAP346
WAP331,WAP331
WAP022,WAP022
WAP507,WAP507
WAP096,WAP096
WAP344,WAP344
WAP302,WAP302
WAP041,WAP041
WAP378,WAP378
WAP150,WAP150
WAP457,WAP457
WAP015,WAP015
WAP249,WAP249
WAP038,WAP038
WAP513,WAP513
WAP266,WAP266
WAP426,WAP426
WAP002,WAP002
WAP027,WAP027
WAP023,WAP023
WAP136,WAP136
WAP329,WAP329
WAP514,WAP514
WAP480,WAP480
WAP273,WAP273
WAP100,WAP100
WAP077,WAP077
WAP485,WAP485
WAP175,WAP175
WAP464,WAP464
WAP397,WAP397
WAP272,WAP272
WAP421,WAP421
WAP405,WAP405
WAP515,WAP515
WAP076,WAP076
WAP518,WAP518
WAP075,WAP075
WAP024,WAP024
WAP052,WAP052
WAP083,WAP083
WAP141,WAP141
WAP067,WAP067
WAP323,WAP323
WAP379,WAP379
WAP262,WAP262
WAP013,WAP013
WAP097,WAP097
WAP390,WAP390
WAP452,WAP452
WAP360,WAP360
WAP508,WAP508
WAP269,WAP269
WAP512,WAP512
WAP152,WAP152
WAP334,WAP334
WAP351,WAP351
WAP281,WAP281
WAP353,WAP353
WAP476,WAP476
WAP413,WAP413
WAP404,WAP404
WAP122,WAP122
WAP218,WAP218
WAP384,WAP384
WAP103,WAP103
WAP348,WAP348
WAP256,WAP256
WAP408,WAP408
WAP454,WAP454
WAP223,WAP223
WAP503,WAP503
WAP073,WAP073
WAP138,WAP138
WAP040,WAP040
WAP441,WAP441
WAP510,WAP510
WAP189,WAP189
WAP194,WAP194
WAP411,WAP411
WAP065,WAP065
WAP427,WAP427
WAP317,WAP317
WAP412,WAP412
WAP407,WAP407
WAP084,WAP084
WAP007,WAP007
WAP352,WAP352
WAP479,WAP479
WAP204,WAP204
WAP481,WAP481
WAP104,WAP104
WAP195,WAP195
WAP109,WAP109
WAP056,WAP056
WAP145,WAP145
WAP310,WAP310
WAP135,WAP135
WAP061,WAP061
WAP107,WAP107
WAP326,WAP326
WAP461,WAP461
WAP170,WAP170
WAP328,WAP328
WAP010,WAP010
WAP490,WAP490
WAP255,WAP255
WAP429,WAP429
WAP298,WAP298
WAP350,WAP350
WAP374,WAP374
WAP264,WAP264
